TIP AGENTIE,SHOP NAME,lat,lng,link,ORAS,Suprafata utila,Status Oras,Status shop,HCL,Anexa,Taxa locala,New cost/sop,Nota calcul Primarie,Dosar autorizare depus,Autorizatie Emisa,Nr. Aparate,Observatii,Acte necesare pt. autorizare
PARTENER SSBT ADM,SSBT ADM ADJUD 543-GARII,47.143306,27.599331,https://drive.google.com/drive/folders/1ua5jW6i-fpQTd05G4WxMjWusekKwMIRa,ADJUD,15,To be banned,To be closed,69/24.04.2026,,,0,,nu,,0,interzicere totala,
STANDARD,ADJUD 02-REPUBLICII,46.0995929,27.1812034,https://drive.google.com/drive/folders/1ua5jW6i-fpQTd05G4WxMjWusekKwMIRa,ADJUD,78.5,To be banned,To be closed,69/24.04.2026,,,0,,nu,,5,interzicere totala,
STANDARD,ADJUD 01-REPUBLICII,46.0983777,27.182294,https://drive.google.com/drive/folders/1ua5jW6i-fpQTd05G4WxMjWusekKwMIRa,ADJUD,52.6,To be banned,To be closed,69/24.04.2026,,,0,,nu,,5,interzicere totala,
STANDARD,AFUMATI 01-BUCURESTI-URZICENI,44.524048,26.250347,https://drive.google.com/drive/folders/1ua5jW6i-fpQTd05G4WxMjWusekKwMIRa,AFUMATI,54.2,Safe,Safe,44/24.04.2026,,,0,,,,0,,
STANDARD,AIUD 01-IULIU MANIU,46.310444,23.723741,https://drive.google.com/drive/folders/1ua5jW6i-fpQTd05G4WxMjWusekKwMIRa,AIUD,53.5,To be banned (Slots),#N/A,71/23.04.2026,,TBD,,,,,1,,
STANDARD,ALBA IULIA 01-CENTRU,46.072162,23.580636,,ALBA IULIA,60.6,N/A,#N/A,,,,0,,,,2,,
STANDARD,ALBA IULIA 06-REVOLUTIEI,46.0771884,23.5602088,,ALBA IULIA,34.1,N/A,#N/A,,,,0,,,,1,,
STANDARD,ALBA IULIA 05-VASILE GOLDIS,46.067856,23.559932,,ALBA IULIA,59.2,N/A,#N/A,,,,0,,,,5,,
STANDARD,ALBA IULIA 04-AMPOI,46.083177,23.58391,,ALBA IULIA,39.5,N/A,#N/A,,,,0,,,,0,,
STANDARD,ALBA IULIA 03-TRANSILVANIEI,46.0701889,23.5596779,,ALBA IULIA,40.7,N/A,#N/A,,,,0,,,,5,,
STANDARD,ALBA IULIA 02-MOTILOR,46.078235,23.564642,,ALBA IULIA,28.5,N/A,#N/A,,,,0,,,,5,,
STANDARD,ALESD 01-UNIRII,47.06005806,22.39556635,,ALESD,41.4,Safe,#N/A,38/20.04.2026,Da,300,12420,,Nu,,0,,"Cerere, CUI, certificat constataor,licenta,Acte spatiu (după caz - extrasul de carte funciară, pentru informare, actualizat la zi din care să rezulte funcțiunea spațiului și suprafața/aria desgășurată a acestuia, act de proprietate spaţiu, contract de închiriere valabil pe anul în curs inregistrat la ANAF, contract de comodat),dovada achitarii taxei de afisaj,contract salubrizare,CAF fara datorii."
PARTENER SSBT ADM,SSBT ADM ALEXANDRIA 533-DUNARII,43.972609,25.323735,,ALEXANDRIA,15,To be banned (Slots),To be closed,112/31.03.2026,Da,1000,15000,,Da,,0,,
AGENTIE 2.0,ALEXANDRIA 05-PIETONAL,43.969296,25.331157,https://drive.google.com/drive/folders/1ua5jW6i-fpQTd05G4WxMjWusekKwMIRa,ALEXANDRIA,43.9,To be banned (Slots),#N/A,112/31.03.2026,Da,1000,43900,,Da,,1,,
PARTENER SSBT MAGIC,SSBT ALEXANDRIA 001-BUCURESTI,43.966009,25.335427,https://drive.google.com/drive/folders/1ua5jW6i-fpQTd05G4WxMjWusekKwMIRa,ALEXANDRIA,15,To be banned (Slots),To be closed,112/31.03.2026,Da,1000,15000,,Da,,0,,
STANDARD,ALEXANDRIA 04-PECO,43.97767333,25.31645,https://drive.google.com/drive/folders/1ua5jW6i-fpQTd05G4WxMjWusekKwMIRa,ALEXANDRIA,84.8,To be banned (Slots),#N/A,112/31.03.2026,Da,1000,84800,,Da,,5,,
STANDARD,ALEXANDRIA 02-1 MAI,43.96382326,25.33797696,https://drive.google.com/drive/folders/1ua5jW6i-fpQTd05G4WxMjWusekKwMIRa,ALEXANDRIA,56.6,To be banned (Slots),#N/A,112/31.03.2026,Da,1000,56600,,Da,,5,,
STANDARD,ALEXANDRIA 01-LIBERTATII,43.96742727,25.33400025,https://drive.google.com/drive/folders/1ua5jW6i-fpQTd05G4WxMjWusekKwMIRa,ALEXANDRIA,64.8,To be banned (Slots),#N/A,112/31.03.2026,Da,1000,64800,,Da,,5,,
AGENTIE 2.0,ARAD 08-PIATA UTA,46.191694,21.307561,,ARAD,64.1,N/A,#N/A,,,,0,,,,5,,
STANDARD,ARAD 03-VLAICU,46.194133,21.30372,,ARAD,36.4,N/A,#N/A,,,,0,,,,5,,
STANDARD,ARAD 12-GRADISTE,46.19011,21.329789,,ARAD,38,N/A,#N/A,,,,0,,,,4,,
STANDARD,ARAD 11-ALFA,46.163762,21.291595,,ARAD,51.5,N/A,#N/A,,,,0,,,,0,,
STANDARD,ARAD 10-CALEA TIMISORII,46.1541035,21.3216221,,ARAD,76.2,N/A,#N/A,,,,0,,,,5,,
STANDARD,ARAD 09-INTIM,46.1825323,21.3105985,,ARAD,64.2,N/A,#N/A,,,,0,,,,4,,
STANDARD,ARAD 05-AUREL VLAICU,46.19867788,21.29616297,,ARAD,85,N/A,#N/A,,,,0,,,,5,,
STANDARD,ARAD 01-BILLA,46.1725104,21.3472482,,ARAD,35.5,N/A,#N/A,,,,0,,,,5,,
STANDARD,ARAD 07-AVRAM IANCU,46.1695857,21.316637,,ARAD,55.6,N/A,#N/A,,,,0,,,,4,,
STANDARD,ARAD 04-PTA GARII,46.18753,21.325622,,ARAD,33.1,N/A,#N/A,,,,0,,,,4,,
STANDARD,ARAD 02-BORSEC,46.1709998,21.3539198,,ARAD,51.8,N/A,#N/A,,,,0,,,,0,,
STANDARD,BABADAG 01-REPUBLICII,44.894076,28.724364,,BABADAG,44.2,N/A,#N/A,,,,0,,,,0,,
AGENTIE 2.0,BACAU 12-BANCA NATIONALA,46.573942,26.908299,https://drive.google.com/drive/folders/1ua5jW6i-fpQTd05G4WxMjWusekKwMIRa,BACAU,55.35,To be banned,To be closed,119/01.04.2026,,,0,,,,5,interzicere totala,
AGENTIE 2.0 LIGHT,BACAU 23-APRODU,46.582762,26.910123,https://drive.google.com/drive/folders/1ua5jW6i-fpQTd05G4WxMjWusekKwMIRa,BACAU,68.07,To be banned,To be closed,119/01.04.2026,,,0,,,,5,interzicere totala,
STANDARD,BACAU 25-ALECU RUSSO,46.554232,26.919565,https://drive.google.com/drive/folders/1ua5jW6i-fpQTd05G4WxMjWusekKwMIRa,BACAU,77.4,To be banned,To be closed,119/01.04.2026,,,0,,,,0,interzicere totala,
STANDARD,BACAU 24-BICAZ,46.532785,26.921379,https://drive.google.com/drive/folders/1ua5jW6i-fpQTd05G4WxMjWusekKwMIRa,BACAU,61,To be banned,To be closed,119/01.04.2026,,,0,,,,0,interzicere totala,
STANDARD,BACAU 22-RUBINULUI,46.573843,26.914982,https://drive.google.com/drive/folders/1ua5jW6i-fpQTd05G4WxMjWusekKwMIRa,BACAU,56.8,To be banned,To be closed,119/01.04.2026,,,0,,,,4,interzicere totala,
STANDARD,BACAU 20-PIATA SUD,46.551781,26.910928,https://drive.google.com/drive/folders/1ua5jW6i-fpQTd05G4WxMjWusekKwMIRa,BACAU,80.5,To be banned,To be closed,119/01.04.2026,,,0,,,,4,interzicere totala,
STANDARD,BACAU 19-GARA,46.566655,26.895696,https://drive.google.com/drive/folders/1ua5jW6i-fpQTd05G4WxMjWusekKwMIRa,BACAU,63.9,To be banned,To be closed,119/01.04.2026,,,0,,,,5,interzicere totala,
STANDARD,BACAU 18-MILCOV,46.54992563,26.92162812,https://drive.google.com/drive/folders/1ua5jW6i-fpQTd05G4WxMjWusekKwMIRa,BACAU,36.5,To be banned,To be closed,119/01.04.2026,,,0,,,,5,interzicere totala,
STANDARD,BACAU 16-CALEA REPUBLICII,46.533947,26.919322,https://drive.google.com/drive/folders/1ua5jW6i-fpQTd05G4WxMjWusekKwMIRa,BACAU,89.1,To be banned,To be closed,119/01.04.2026,,,0,,,,5,interzicere totala,
STANDARD,BACAU 10-MIHAI VITEAZU,46.567832,26.912692,https://drive.google.com/drive/folders/1ua5jW6i-fpQTd05G4WxMjWusekKwMIRa,BACAU,75.1,To be banned,To be closed,119/01.04.2026,,,0,,,,5,interzicere totala,
